## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectInsertSizeMetrics HISTOGRAM_FILE=alignment_metrics/lice4_insert_size_histogram.pdf INPUT=lice4.sorted.bam OUTPUT=alignment_metrics/lice4_insert_metrics.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Sep 28 23:37:59 PDT 2017

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
199	77	2	1953708	229.602637	135.030037	2803022	FR	31	61	91	123	155	189	231	299	431	959			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	198
3	648
4	2214
5	403
6	26
7	18
8	17
9	53
10	38
11	44
12	35
13	53
14	54
15	62
16	63
17	72
18	80
19	10172
20	7205
21	4514
22	4263
23	2766
24	2697
25	3180
26	2402
27	2336
28	1951
29	1745
30	1412
31	1439
32	3478
33	3003
34	2836
35	2446
36	1174
37	1607
38	1570
39	1157
40	1098
41	1247
42	2130
43	1816
44	2280
45	1387
46	1312
47	1470
48	1431
49	1713
50	1669
51	1927
52	1893
53	2009
54	2122
55	2180
56	2351
57	2634
58	2612
59	2809
60	2941
61	3001
62	3104
63	3331
64	3408
65	3528
66	3775
67	3952
68	4152
69	4155
70	4365
71	4541
72	4573
73	4860
74	4880
75	5059
76	5315
77	5464
78	5681
79	5897
80	5938
81	6252
82	6303
83	6352
84	6623
85	6917
86	7036
87	7051
88	7414
89	7466
90	7685
91	7981
92	7742
93	7963
94	8705
95	8644
96	8457
97	8945
98	9081
99	9302
100	9314
101	9267
102	9468
103	9614
104	9780
105	9868
106	9722
107	9936
108	10049
109	10366
110	10458
111	10341
112	10504
113	10720
114	10665
115	10726
116	10700
117	10753
118	10839
119	11487
120	11027
121	11184
122	11457
123	11397
124	11451
125	11153
126	11219
127	11240
128	11320
129	11553
130	11405
131	11527
132	11378
133	11446
134	11876
135	11511
136	11556
137	11436
138	11640
139	11712
140	11667
141	11407
142	11726
143	11656
144	11299
145	11277
146	11326
147	11144
148	11221
149	11292
150	11077
151	11170
152	11198
153	11174
154	11002
155	11050
156	11131
157	11244
158	10964
159	10882
160	11197
161	10929
162	11059
163	10940
164	10950
165	10660
166	10848
