## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectInsertSizeMetrics HISTOGRAM_FILE=alignment_metrics/lice54_insert_size_histogram.pdf INPUT=lice54.sorted.bam OUTPUT=alignment_metrics/lice54_insert_metrics.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Sep 29 00:38:41 PDT 2017

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
197.5	73.5	17	766	222.845646	130.218153	758	FR	29	55	87	117	149	189	235	297	411	941			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
17	1
19	7
20	9
21	5
22	2
23	1
24	1
25	2
26	1
28	1
29	1
31	1
33	2
35	1
36	1
38	2
42	1
43	1
49	1
50	1
52	1
58	2
59	1
60	1
62	3
63	2
64	1
66	1
69	2
70	1
71	1
72	2
74	2
75	1
77	1
78	2
79	2
80	3
81	1
82	1
83	1
85	1
86	4
87	3
89	3
90	2
91	2
92	4
93	1
94	1
95	2
96	3
98	3
99	1
100	2
101	1
102	4
103	1
104	1
105	1
106	2
107	5
108	2
109	4
110	3
111	3
112	5
113	5
114	2
115	2
116	1
117	3
118	5
119	2
120	2
121	1
123	3
124	4
126	4
127	2
128	3
129	6
130	5
131	1
132	1
133	5
134	6
135	1
136	3
137	5
138	3
139	1
140	3
141	3
142	3
144	5
145	5
146	2
147	4
148	2
149	3
150	3
151	3
152	3
154	1
155	2
156	2
157	3
158	1
159	2
160	2
161	1
162	2
163	1
164	3
165	3
166	6
167	1
168	4
169	3
170	2
171	4
172	5
173	4
174	3
175	2
176	5
177	3
178	5
179	2
180	3
182	4
183	3
184	6
185	2
186	5
187	4
188	3
189	10
190	1
191	1
193	5
194	1
195	1
196	4
197	1
198	1
199	3
200	2
202	4
203	2
204	2
205	1
206	4
209	5
210	3
211	4
214	6
215	3
216	1
217	7
218	3
219	3
220	3
221	3
222	2
223	2
226	1
227	2
228	3
229	4
230	3
231	1
232	2
233	3
234	3
235	6
236	2
237	2
239	4
240	5
241	2
242	4
243	1
244	3
245	1
246	1
247	2
248	2
249	5
250	1
251	1
252	1
253	1
254	6
255	3
256	1
257	3
259	3
260	1
261	3
262	1
264	2
265	1
266	4
267	2
268	2
270	1
271	2
272	1
273	3
275	3
276	1
277	1
278	1
280	2
281	1
282	2
284	1
286	1
287	3
290	1
291	2
292	2
293	2
294	2
295	4
297	1
299	3
300	1
302	2
303	1
304	1
305	2
306	1
307	1
309	1
310	2
311	1
312	1
313	5
315	2
318	2
320	4
321	5
322	2
323	1
324	3
328	1
329	2
330	1
331	1
332	1
334	1
335	3
336	2
338	2
340	3
341	3
342	1
343	5
344	1
345	1
346	1
347	1
348	1
352	1
353	1
358	1
360	3
361	1
364	1
367	1
369	2
371	3
374	1
376	1
381	1
382	2
384	1
387	3
392	1
395	1
396	1
397	1
398	2
402	4
403	1
404	3
405	1
406	1
407	1
411	2
416	1
417	1
421	1
425	2
426	1
432	1
435	1
436	2
437	1
441	2
444	2
447	1
448	3
451	1
456	1
457	1
462	2
463	1
464	1
471	1
472	2
475	3
479	1
480	1
482	1
485	1
488	1
491	1
499	3
505	1
514	1
522	1
526	1
530	1
532	1
533	1
538	1
557	1
585	2
591	1
597	1
608	1
612	1
621	1
657	1
667	1
672	1
683	1
689	1
697	1
737	1
743	1
766	1

