## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectInsertSizeMetrics HISTOGRAM_FILE=alignment_metrics/lice55_insert_size_histogram.pdf INPUT=lice55.sorted.bam OUTPUT=alignment_metrics/lice55_insert_metrics.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Sep 29 00:38:44 PDT 2017

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
200	73.5	19	7771	218.775378	126.195106	464	FR	29	59	93	121	147	197	241	309	381	813			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
19	6
20	4
21	6
23	2
28	1
29	2
32	1
33	1
35	1
36	1
46	2
50	1
52	1
57	1
60	1
62	1
64	1
67	1
68	1
69	1
70	2
71	1
73	2
75	2
76	2
77	2
79	1
80	1
85	1
87	3
88	3
89	1
90	2
92	3
93	2
94	2
96	2
97	4
99	2
100	1
102	1
103	2
104	1
107	2
109	1
110	2
111	1
113	1
114	4
115	2
119	1
120	4
122	2
123	1
124	2
125	1
126	3
127	3
128	3
129	2
130	1
131	3
133	1
134	6
135	2
136	2
137	2
138	3
139	1
140	2
141	2
142	5
143	2
144	5
145	2
147	1
148	2
150	1
151	4
153	2
155	3
156	1
157	1
158	1
160	4
161	3
162	3
164	1
166	5
170	2
171	2
172	1
173	1
174	1
175	1
176	3
177	1
179	4
180	3
181	1
182	1
183	2
184	2
186	2
187	1
188	1
189	1
190	2
192	1
193	1
194	1
195	3
196	1
197	2
198	4
200	3
201	2
202	1
203	2
204	4
205	1
207	3
209	1
210	2
211	2
212	3
213	1
214	2
215	3
216	3
218	2
220	1
221	5
222	1
223	2
225	1
227	1
228	2
229	3
230	2
231	1
232	1
233	1
235	3
236	1
237	1
240	1
241	4
242	1
243	1
245	1
246	7
249	3
250	2
251	2
252	1
255	1
258	3
259	2
260	1
261	2
262	3
264	2
265	1
266	4
268	2
270	2
272	1
274	1
276	1
278	2
279	2
280	1
281	1
284	1
285	1
289	2
291	1
294	1
296	1
298	1
299	1
300	3
303	1
304	2
307	1
308	1
309	1
310	4
313	1
317	1
318	1
319	2
320	1
321	3
322	1
327	1
329	1
330	2
332	1
334	2
336	1
344	1
345	1
346	3
349	1
350	1
351	1
352	1
354	2
355	1
356	2
359	3
361	1
364	2
366	3
367	1
374	1
375	1
378	2
381	2
387	1
390	1
391	1
393	1
397	1
401	1
406	1
410	1
412	1
421	1
423	1
428	1
432	2
433	2
434	1
435	1
441	1
444	1
446	1
448	1
454	1
455	2
462	1
481	1
489	1
493	1
496	1
498	1
511	1
514	1
517	1
518	1
535	1
538	2
548	1
555	1
567	1
574	1
594	1
606	1
616	1
650	1
766	1

