## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectInsertSizeMetrics HISTOGRAM_FILE=alignment_metrics/lice78_insert_size_histogram.pdf INPUT=lice78.sorted.bam OUTPUT=alignment_metrics/lice78_insert_metrics.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Sep 29 01:15:32 PDT 2017

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
178	59	2	2065898	196.595077	101.187551	194757	FR	23	47	71	95	119	147	181	231	317	685			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	3
3	16
4	44
5	6
6	1
7	1
8	1
9	3
10	2
13	1
15	2
16	8
17	5
18	5
19	502
20	460
21	258
22	279
23	184
24	172
25	235
26	192
27	150
28	149
29	125
30	117
31	127
32	317
33	292
34	186
35	398
36	97
37	232
38	236
39	83
40	82
41	69
42	187
43	97
44	110
45	114
46	110
47	119
48	145
49	136
50	118
51	104
52	198
53	166
54	164
55	161
56	144
57	173
58	213
59	197
60	209
61	250
62	217
63	239
64	258
65	263
66	283
67	312
68	299
69	367
70	317
71	361
72	380
73	408
74	390
75	442
76	391
77	397
78	443
79	490
80	484
81	492
82	513
83	533
84	487
85	522
86	554
87	560
88	570
89	562
90	641
91	641
92	698
93	658
94	674
95	664
96	667
97	669
98	693
99	747
100	760
101	717
102	817
103	745
104	741
105	803
106	789
107	823
108	788
109	825
110	856
111	929
112	850
113	896
114	865
115	873
116	927
117	918
118	907
119	903
120	943
121	855
122	891
123	907
124	908
125	974
126	955
127	919
128	900
129	992
130	978
131	986
132	989
133	928
134	1002
135	976
136	981
137	949
138	981
139	962
140	927
141	987
142	933
143	1020
144	951
145	926
146	945
147	960
148	940
149	957
150	882
151	930
152	913
153	939
154	986
155	941
156	916
157	933
158	926
159	970
160	971
161	902
162	885
163	874
164	900
165	910
166	946
167	871
168	932
169	869
170	894
171	868
172	858
173	898
174	890
175	845
176	894
177	915
178	866
179	852
180	846
181	855
182	821
183	840
184	818
185	807
186	802
187	807
188	815
189	837
190	820
191	813
192	826
193	805
194	796
195	774
196	789
197	735
198	805
199	808
200	758
201	734
202	737
203	734
204	738
205	691
206	744
207	728
208	671
209	683
210	700
211	646
212	664
213	672
214	673
215	670
216	651
217	651
218	664
219	643
220	658
221	682
222	638
223	614
224	658
225	611
226	570
227	610
228	636
229	584
230	568
231	596
232	581
233	619
234	519
235	540
236	603
237	609
238	570
239	577
240	555
241	541
242	509
243	538
244	510
245	567
246	539
247	480
248	492
249	525
250	475
251	540
252	485
253	465
254	453
255	470
256	462
257	473
258	443
259	448
260	454
261	423
262	460
263	449
264	474
265	470
266	420
267	494
268	402
269	427
270	386
271	402
272	380
273	441
274	463
275	427
276	353
277	384
278	398
279	417
280	401
281	375
282	357
283	378
284	367
285	363
286	319
287	370
288	382
289	292
290	355
291	328
292	328
293	295
294	319
295	335
296	298
297	323
298	313
299	297
300	326
301	336
302	277
303	304
304	309
305	313
306	295
307	289
308	307
309	281
310	280
311	276
312	253
313	285
314	284
315	292
316	259
317	245
318	279
319	257
320	278
321	281
322	237
323	241
324	252
325	268
326	238
327	256
328	249
329	234
330	214
331	230
332	225
333	227
334	216
335	198
336	214
337	210
338	187
339	208
340	196
341	224
342	223
343	208
344	213
345	198
346	217
347	201
348	200
349	197
350	172
351	185
352	174
353	174
354	186
355	193
356	184
357	193
358	162
359	171
360	160
361	164
362	170
363	156
364	160
365	175
366	156
367	163
368	140
369	135
370	138
371	148
372	144
373	165
374	152
375	126
376	168
377	124
378	132
379	135
380	165
381	130
382	128
383	145
384	110
385	129
386	126
387	135
388	129
389	101
390	125
391	118
392	81
393	112
394	110
395	113
396	126
397	105
398	117
399	118
400	102
401	105
402	86
403	99
404	100
405	116
406	104
407	121
408	79
409	96
410	91
411	104
412	86
413	92
414	109
415	84
416	75
417	73
418	100
419	90
420	93
421	78
422	73
423	87
424	76
425	91
426	72
427	67
428	91
429	89
430	76
431	87
432	56
433	75
434	57
435	72
436	78
437	62
438	60
439	55
440	69
441	58
442	71
443	66
444	57
445	73
446	72
447	65
448	53
449	57
450	52
451	62
452	51
453	55
454	51
455	48
456	60
457	48
458	58
459	47
460	52
461	52
462	54
463	58
464	46
465	44
466	42
467	58
468	44
469	44
470	41
471	55
472	46
473	41
474	44
475	37
476	26
477	42
478	38
479	27
480	45
481	28
482	51
483	46
484	48
485	53
486	41
487	40
488	37
489	25
490	41
491	39
492	35
493	31
494	28
495	27
496	45
497	31
498	27
499	26
500	23
501	29
502	32
503	38
504	39
505	37
506	32
507	28
508	26
509	35
510	26
511	23
512	27
513	29
514	23
515	32
516	34
517	25
518	30
519	26
520	18
521	23
522	29
523	33
524	31
525	17
526	21
527	20
528	28
529	28
530	18
531	23
532	22
533	18
534	20
535	26
536	18
537	15
538	12
539	32
540	22
541	20
542	20
543	16
544	17
545	17
546	15
547	21
548	24
549	20
550	21
551	16
552	16
553	12
554	8
555	15
556	10
557	10
558	20
559	17
560	13
561	12
562	9
563	21
564	17
565	7
566	8
567	10
568	12
569	17
570	8
571	13
572	9
573	10
574	10
575	14
576	16
577	15
578	2
579	10
580	12
581	4
582	12
583	9
584	15
585	13
586	12
587	6
588	3
589	7
590	16
591	9
592	5
593	12
594	7
595	18
596	13
597	11
598	9
599	10
600	9
601	13
602	10
603	11
604	6
605	4
606	5
607	3
608	10
609	10
610	7
611	13
612	5
613	11
614	6
615	5
616	3
617	3
618	2
619	3
620	4
621	10
622	7
623	5
624	7
625	8
626	2
627	2
628	5
629	7
630	6
631	6
632	5
633	5
634	5
635	10
636	5
637	5
638	8
639	7
640	10
641	7
642	7
643	7
644	1
645	2
646	5
647	3
648	4
649	5
650	3
651	1
652	3
653	2
654	2
655	3
656	3
657	6
658	4
659	3
660	4
661	2
662	4
663	5
664	4
665	5
666	4
667	1
668	2
669	1
670	1
671	2
672	5
673	4
674	4
675	3
676	4
677	3
678	5
679	3
680	3
681	3
682	4
683	1
684	3
685	1
686	4
687	4
688	1
689	5
690	4
691	2
692	1
693	2
694	2
695	3
696	5
699	1
700	1
701	2
702	1
703	5
704	4
705	2
706	1
707	2
708	2
709	2
710	2
712	1
713	2
714	3
715	3
717	2
718	2
719	2
720	3
721	1
722	2
723	3
724	1
725	1
727	1
728	3
729	2
730	3
731	4
732	2
733	2
734	1
735	2
737	3
738	3
740	3
741	3
742	2
743	1
745	1
746	1
747	3
748	3
749	1
750	1
751	1
752	1
753	1
754	1
756	2
758	1
759	3
760	1
761	2
762	2
763	1
764	3
765	1
768	3

