## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectInsertSizeMetrics HISTOGRAM_FILE=alignment_metrics/lice87_insert_size_histogram.pdf INPUT=lice87.sorted.bam OUTPUT=alignment_metrics/lice87_insert_metrics.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Sep 29 01:42:10 PDT 2017

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
175	59	3	1242545	192.890429	101.852967	96640	FR	23	47	69	95	119	149	185	237	313	685			
321	176	28	1387174	440.122086	383.666916	6078	TANDEM	69	147	221	287	353	417	495	879	1873	10289			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count	All_Reads.tandem_count
3	6	0
4	15	0
5	6	0
7	2	0
12	1	0
13	1	0
14	3	0
15	3	0
16	2	0
17	1	0
18	1	0
19	439	0
20	352	0
21	214	0
22	238	0
23	133	0
24	88	0
25	206	0
26	75	0
27	105	0
28	92	1
29	73	1
30	66	0
31	66	1
32	240	0
33	146	0
34	190	0
35	307	0
36	49	0
37	86	2
38	144	1
39	60	0
40	40	2
41	66	0
42	134	0
43	45	2
44	57	2
45	63	1
46	56	2
47	68	1
48	63	3
49	66	0
50	79	3
51	58	1
52	99	0
53	61	1
54	75	1
55	92	1
56	112	0
57	112	1
58	114	2
59	120	2
60	115	2
61	152	3
62	128	10
63	140	6
64	124	2
65	142	0
66	148	2
67	137	1
68	189	6
69	176	5
70	174	8
71	187	2
72	201	10
73	204	6
74	215	7
75	210	10
76	190	2
77	209	11
78	245	9
79	224	8
80	290	6
81	239	12
82	302	10
83	251	8
84	227	10
85	261	8
86	297	8
87	317	13
88	266	8
89	298	6
90	311	13
91	331	14
92	355	16
93	319	14
94	321	14
95	335	13
96	325	15
97	365	10
98	371	22
99	382	12
100	363	16
101	404	6
102	361	9
103	374	11
104	383	10
105	421	14
106	383	17
107	405	11
108	391	14
109	436	19
110	414	16
111	428	13
112	435	16
113	391	12
114	443	19
115	411	10
116	456	14
117	437	13
118	410	14
119	425	13
120	479	19
121	476	16
122	484	10
123	404	13
124	457	11
125	446	14
126	505	18
127	460	23
128	481	21
129	472	11
130	492	16
131	448	14
132	478	10
133	455	14
134	521	17
135	452	19
136	515	15
137	483	12
138	491	12
139	430	16
140	478	9
141	455	22
142	505	15
143	479	20
144	511	10
145	494	10
146	463	16
147	464	9
148	456	16
149	462	11
150	492	17
151	487	9
152	454	15
153	486	15
154	486	15
155	449	17
156	469	7
157	495	16
158	450	13
159	460	15
160	460	16
161	418	13
162	430	14
163	455	19
164	403	14
165	427	12
166	456	15
167	437	14
168	466	13
169	428	14
170	474	11
171	430	10
172	432	9
173	405	14
174	398	16
175	460	15
176	444	14
177	392	14
178	393	18
179	393	20
180	421	11
181	424	20
182	421	15
183	401	22
184	390	17
185	445	15
186	405	12
187	431	16
188	396	15
189	397	11
190	399	15
191	359	12
192	400	11
193	391	10
194	398	8
195	401	12
196	350	10
197	381	10
198	438	12
199	372	15
200	370	17
201	361	14
202	333	8
203	370	14
204	379	22
205	339	11
206	328	23
207	370	7
208	349	10
209	309	11
210	318	15
211	344	16
212	348	11
213	317	13
214	317	13
215	328	8
216	280	14
217	321	12
218	338	11
219	282	14
