V1	TOTAL_READS	PCT_PF_READS_ALIGNED	PCT_ADAPTER
lice1	1020866	0.647697	8e-06
lice2	8623178	0.775654	1.2e-05
lice3	14379172	0.979682	8e-06
lice4	6055666	0.957298	6e-06
lice5	4836374	0.925541	1e-05
lice6	9033654	0.95609	5e-06
lice7	14209990	0.95857	7e-06
lice8	8497262	0.964651	7e-06
lice9	10180	0.637426	0
lice10	3821198	0.503773	2.4e-05
lice11	115768	0.947187	0
lice12	407622	0.755052	1.2e-05
lice13	7482454	0.961584	8e-06
lice14	10792718	0.981369	9e-06
lice15	7166060	0.975193	6e-06
lice16	5384000	0.971251	9e-06
lice17	1125540	0.963834	1e-05
lice18	170834	0.971955	6e-06
lice19	109368	0.911263	0
lice20	1570516	0.954001	1e-05
lice21	540070	0.966899	1.1e-05
lice22	6179170	0.972957	5e-06
lice23	2659018	0.946065	9e-06
lice24	12379188	0.964253	1e-05
lice25	98352	0.277656	2e-05
lice26	1430068	0.743268	1.5e-05
lice27	796796	0.682955	2.4e-05
lice28	2844398	0.705665	2.1e-05
lice29	588990	0.561981	7e-06
lice30	5358	0.531355	0
lice31	287576	0.50571	8e-05
lice32	8299024	0.280244	1.8e-05
lice33	122988	0.937246	8e-06
lice34	524160	0.8079	2.5e-05
lice35	2060704	0.81234	1.6e-05
lice36	8252692	0.500935	1.7e-05
lice37	4113372	0.863394	1.8e-05
lice38	13169128	0.809832	8e-06
lice39	18121578	0.889387	1.1e-05
lice40	4316878	0.75718	2.3e-05
lice41	13734186	0.981505	6e-06
lice42	6726616	0.978454	5e-06
lice43	6603214	0.97656	9e-06
lice44	14331766	0.984301	7e-06
lice45	13639918	0.841613	1.4e-05
lice46	16199204	0.885834	1.1e-05
lice47	9255268	0.954747	9e-06
lice48	3638802	0.873453	1.1e-05
lice49	14420676	0.904354	1.2e-05
lice50	567414	0.876096	9e-06
lice51	8400862	0.9098	5e-06
lice52	2594	0.797224	0
lice53	4288	0.857276	0
lice54	2008	0.782371	0
lice55	1420	0.673239	0
lice56	20396	0.642577	0
lice57	1398	0.63877	0
lice58	528	0.630682	0
lice59	886	0.664786	0
lice60	7826	0.905699	0
lice61	182008	0.939558	0
lice62	7855406	0.953315	5e-06
lice63	17170336	0.95981	6e-06
lice64	14787048	0.970789	7e-06
lice65	17964352	0.970601	4e-06
lice66	10873458	0.137908	2.2e-05
lice67	13342300	0.973715	9e-06
lice68	3635476	0.965012	9e-06
lice69	8852226	0.935697	9e-06
lice70	6107956	0.971249	9e-06
lice71	1225728	0.974883	5e-06
lice72	2140642	0.974755	4e-06
lice73	11559352	0.953448	6e-06
lice74	10555156	0.978467	5e-06
lice75	33295528	0.974029	8e-06
lice76	7128124	0.988154	5e-06
lice77	8393594	0.985005	4e-06
lice78	420118	0.981522	5e-06
lice79	16189304	0.985518	5e-06
lice80	32815002	0.986214	5e-06
lice81	21420796	0.973079	5e-06
lice82	15996114	0.968256	5e-06
lice83	29923540	0.98459	6e-06
lice84	630594	0.981966	3e-06
lice85	419234	0.980503	1e-05
lice86	11663488	0.911879	1.1e-05
lice87	224040	0.970358	4e-06
lice88	265108	0.967715	4e-06
lice89	3252	0.920049	0
lice90	10532962	0.981851	4e-06
lice91	28978862	0.314427	2.3e-05
lice92	38100934	0.343601	1.7e-05
lice93	23848496	0.962667	1e-05
lice94	17401900	0.960602	7e-06
lice95	23689818	0.963823	9e-06
lice96	24911868	0.963124	6e-06
